,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
907,Sakamoto desu ga,"Comédia, Escolar, Seinen",09/04/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/807_thumb2.jpg,https://punchsubs.net/principal#listar/807/episodios/stream/1
908,Sakura Quest,Comédia,05/04/2017,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/2081_thumb2.jpg,https://punchsubs.net/principal#listar/2081/episodios/stream/1
909,Sakura Trick,"Romance, Escola, Yuri, Coisas da Vida",09/01/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/419_thumb2.jpg,https://punchsubs.net/principal#listar/419/episodios/stream/1
910,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,"Mistério, Escolar",07/10/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/712_thumb2.jpg,https://punchsubs.net/principal#listar/712/episodios/stream/1
911,Sakurasou no Pet na Kanojo,"Comédia, Ecchi, Novel, Pantsu, Shounen, Vida Escolar",26/03/2013,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/258_thumb2.jpg,https://punchsubs.net/principal#listar/258/episodios/stream/1
912,Samurai Deeper Kyo,"Ação, Monstros, Artes Marciais, Samurais",26/01/2011,11,26,Pausado,https://punchsubs.net/imagens/projetos/animes/46_thumb2.jpg,https://punchsubs.net/principal#listar/46/episodios/stream/1
913,Samurai Flamenco,"Ação, Comédia, Drama",10/10/2013,22,22,Completo,https://punchsubs.net/imagens/projetos/animes/387_thumb2.jpg,https://punchsubs.net/principal#listar/387/episodios/stream/1
914,Sangatsu no Lion,"Drama, Seinen, Vida Cotidiana",08/10/2016,22,22,Completo,https://punchsubs.net/imagens/projetos/animes/1972_thumb2.jpg,https://punchsubs.net/principal#listar/1972/episodios/stream/1
915,Sangatsu no Lion 2,"Jogo, Slice of Life, Drama, Seinen",14/10/2017,22,22,Completo,https://punchsubs.net/imagens/projetos/animes/2332_thumb2.jpg,https://punchsubs.net/principal#listar/2332/episodios/stream/1
916,Sankarea,"Fantasia, Horror, Mangá, Romance",29/06/2012,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/198_thumb2.jpg,https://punchsubs.net/principal#listar/198/episodios/stream/1
917,Sanrio Danshi,Escolar,03/01/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2464_thumb2.jpg,https://punchsubs.net/principal#listar/2464/episodios/stream/1
